CO2 Emissions: 0.005140697641224397 kg
Peak Memory Usage: 3056.34765625 MB

Profile Stats:
         36904374 function calls (34790896 primitive calls) in 865.198 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.014    1.014 /usr/local/lib/python3.11/dist-packages/keras/src/optimizers/adam.py:81(build)
       20    0.000    0.000    1.010    0.051 /usr/local/lib/python3.11/dist-packages/keras/src/backend/tensorflow/optimizer.py:24(add_variable_from_reference)
       10    0.000    0.000    1.008    0.101 <ipython-input-1-76c4c927773b>:66(on_epoch_end)
       10    0.000    0.000    1.007    0.101 /usr/local/lib/python3.11/dist-packages/memory_profiler.py:269(memory_usage)
   121/95    0.002    0.000    1.007    0.011 /usr/local/lib/python3.11/dist-packages/tensorflow/python/util/deprecation.py:554(new_func)
       20    0.000    0.000    1.005    0.050 /usr/local/lib/python3.11/dist-packages/keras/src/optimizers/base_optimizer.py:285(add_variable_from_reference)
       20    0.001    0.000    1.003    0.050 /usr/local/lib/python3.11/dist-packages/keras/src/optimizers/base_optimizer.py:243(add_variable)
       10    1.002    0.100    1.002    0.100 {built-in method time.sleep}
    18778    0.148    0.000    0.985    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/util/nest_util.py:922(_tf_data_pack_sequence_as)
    18828    0.069    0.000    0.972    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/data/util/structure.py:309(get_flat_tensor_types)
    37520    0.077    0.000    0.928    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/framework/tensor.py:984(is_compatible_with)
    56478    0.163    0.000    0.917    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/data/util/nest.py:41(flatten)
   152122    0.717    0.000    0.914    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/framework/tensor_shape.py:820(__init__)
    18769    0.129    0.000    0.910    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/eager/polymorphic_function/concrete_function.py:1501(captured_inputs)
   253151    0.422    0.000    0.897    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/eager/context.py:2570(executing_eagerly)
    76675    0.168    0.000    0.897    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/util/nest_util.py:721(_tf_core_flatten)
       22    0.000    0.000    0.875    0.040 /usr/local/lib/python3.11/dist-packages/tensorflow/python/ops/cond.py:39(cond)
       22    0.004    0.000    0.875    0.040 /usr/local/lib/python3.11/dist-packages/tensorflow/python/ops/cond_v2.py:63(cond_v2)
   235372    0.630    0.000    0.867    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/framework/dtypes.py:264(__eq__)
    37520    0.215    0.000    0.851    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/framework/tensor.py:884(is_compatible_with)
664659/664642    0.819    0.000    0.835    0.000 {built-in method _abc._abc_instancecheck}
    37642    0.125    0.000    0.821    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/framework/ops.py:4384(device)
    18762    0.148    0.000    0.816    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/data/ops/optional_ops.py:242(_component_specs)
